Name,Null,Height,Longitude,Latitude,Climbed
Sgurr na Carnach,0,1002,-5.349224,57.189025,0
Sgurr na Ciche,0,1040,-5.456854,57.013452,0
Sgurr na Ciste Duibhe,0,1027,-5.337151,57.180923,0
Sgurr na Lapaich,0,1151,-5.059743,57.369319,0
Sgurr na Ruaidhe,0,993,-4.852464,57.441488,0
Sgurr na Sgine,0,946,-5.39665,57.147098,0
Sgurr nan Ceathreamhnan (Sgurr nan Ceathramhnan),0,1151,-5.222732,57.254911,0
Sgurr nan Clach Geala,0,1093,-5.048238,57.696287,0
Sgurr nan Coireachan,0,956,-5.448551,56.935728,0
Sgurr nan Coireachan,0,953,-5.40544,57.007158,0
Sgurr nan Conbhairean,0,1109,-5.095423,57.177613,0
Sgurr nan Each,0,923,-5.046368,57.681025,0
Sgurr nan Eag,0,926.2,-6.211264,57.19581,0
Sgurr nan Gillean,0,964,-6.19341,57.24845,0
Sgurr Thuilm,0,963,-5.389207,56.937056,0
Slioch,0,981,-5.34703,57.667176,0
Spidean Mialach,0,996,-5.193631,57.088973,0
Sron a'Choire Ghairbh,0,937,-4.928764,57.007857,0
Stob a'Choire Mheadhoin,0,1105,-4.760181,56.823658,0
Stob a'Choire Odhair,0,945,-4.838285,56.573309,0
Stob Ban,0,999,-5.030343,56.743697,0
Stob Ban,0,977,-4.840892,56.810647,0
Stob Binnein,0,1165,-4.535769,56.370726,0
Stob Choire Claurigh,0,1177,-4.849624,56.823786,0
Stob Coir'an Albannaich,0,1044,-4.979811,56.554939,0
Stob Coire a'Chairn,0,981.4,-4.969025,56.750744,0
Stob Coire an Laoigh,0,1116,-4.884907,56.810877,0
Stob Coire Easain,0,1115,-4.773709,56.818181,0
Stob Coire Sgreamhach,0,1072,-5.010285,56.638322,0
Stob Coire Sgriodain,0,979,-4.694917,56.831736,0
Stob Diamh,0,998,-5.091379,56.431271,0
Stob Ghabhar,0,1090,-4.882114,56.568093,0
Stob Poite Coire Ardair,0,1054,-4.585764,56.964064,0
Stuc a'Chroin,0,975,-4.237534,56.329324,0
Stuchd an Lochain (Stuc an Lochain),0,960,-4.470636,56.570915,0
The Cairnwell,0,933,-3.42128,56.879492,0
The Devil's Point,0,1004,-3.688821,57.035727,0
The Saddle,0,1011.4,-5.414721,57.162395,0
Toll Creagach,0,1054,-4.999953,57.309227,0
Tolmount,0,958,-3.297946,56.904733,0
Tom a'Choinich,0,1112,-5.048945,57.299554,0
Tom Buidhe,0,957,-3.292356,56.893615,0
